"Google Invisible Captcha","Google Invisible Captcha"
"General","General"
"Enable Invisible Captcha","Enable Invisible Captcha"
"Site Key","Site Key"
"Secret Key","Secret Key"
"URLs to Enable","URLs to Enable"
"Selectors for Forms","Selectors for Forms"
"Position for Captcha Badge","Position for Captcha Badge"
"CSS","CSS"
"You can generate site key <a href=\"https://www.google.com/recaptcha/admin\" target=\"_blank\">here</a>","You can generate site key <a href=\"https://www.google.com/recaptcha/admin\" target=\"_blank\">here</a>"
"For example: <strong>customer/account/createpost</strong> </br>Each url must be on new line","For example: <strong>customer/account/createpost</strong> </br>Each url must be on new line"
"For example: <strong>.customer-account-create .account-create form</strong> </br>Each selector must be on new line","For example: <strong>.customer-account-create .account-create form</strong> </br>Each selector must be on new line"
"Inline","Inline"
"Bottom Left","Bottom Left"
"Bottom Right","Bottom Right"
"Something is wrong","Something is wrong"
